trial_id,resilience_profile,chaos_scenario,trial_num,started_at_utc,ended_at_utc,status,error_message,gatling_request_count,gatling_ok_count,gatling_ko_count,gatling_error_rate,gatling_p50_ms,gatling_p95_ms,gatling_p99_ms,gatling_mean_response_ms,gatling_mean_requests_per_sec,prometheus_error_rate,peak_process_cpu_usage,peak_jvm_heap_used_bytes,cb_recovery_time_seconds,cb_was_open_during_trial,gatling_report_dir
combined__service_termination__07,combined,service_termination,7,2026-07-08T19:10:36.627209+00:00,2026-07-08T19:16:36.325664+00:00,ok,,2021.0,0.0,2021.0,1.0,7650.0,9183.0,12571.0,7884.0,6.0,,0.0463525835866261,67108864.0,18.04630937500042,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708191040331
combined__service_termination__08,combined,service_termination,8,2026-07-08T19:16:46.338277+00:00,2026-07-08T19:22:46.762510+00:00,ok,,1989.0,0.0,1989.0,1.0,7719.0,9846.0,12556.0,8006.0,5.88,,0.0251193167545842,67108864.0,17.37716937501682,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708191650326
combined__service_termination__09,combined,service_termination,9,2026-07-08T19:22:56.778027+00:00,2026-07-08T19:29:00.804065+00:00,ok,,1955.0,0.0,1955.0,1.0,7819.0,10243.0,12555.0,8150.0,5.8,,0.033375156838143,67108864.0,18.05586062499788,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708192304646
combined__service_termination__10,combined,service_termination,10,2026-07-08T19:29:10.817989+00:00,2026-07-08T19:35:11.292331+00:00,ok,,1976.0,0.0,1976.0,1.0,7683.0,10477.0,12570.0,8077.0,5.85,,0.0349949647532729,67108864.0,13.89448279098724,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708192918737
combined__service_termination__11,combined,service_termination,11,2026-07-08T19:35:21.297433+00:00,2026-07-08T19:41:21.569887+00:00,ok,,1979.0,0.0,1979.0,1.0,7701.0,10090.0,12553.0,8062.0,5.86,,0.0394238059135708,65011712.0,18.141243499994744,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708193525009
combined__service_termination__12,combined,service_termination,12,2026-07-08T19:41:31.578814+00:00,2026-07-08T19:47:31.393243+00:00,ok,,1981.0,0.0,1981.0,1.0,7703.0,10080.0,12877.0,8030.0,5.88,,0.0281407035175879,66060288.0,17.89893724999274,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708194135649
combined__service_termination__13,combined,service_termination,13,2026-07-08T19:47:41.406025+00:00,2026-07-08T19:53:45.780939+00:00,ok,,1981.0,0.0,1981.0,1.0,7676.0,10337.0,12561.0,8057.0,5.86,,0.0375064666321779,76546048.0,16.987141749996226,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708194749858
combined__service_termination__14,combined,service_termination,14,2026-07-08T19:53:55.795102+00:00,2026-07-08T20:00:01.698239+00:00,ok,,1976.0,0.0,1976.0,1.0,7687.0,10373.0,12576.0,8064.0,5.85,,0.0346472508159678,69206016.0,18.05056129200966,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708195404736
combined__service_termination__15,combined,service_termination,15,2026-07-08T20:00:11.703698+00:00,2026-07-08T20:06:06.456564+00:00,ok,,2030.0,0.0,2030.0,1.0,7623.0,9414.0,12567.0,7858.0,6.01,,0.0326417004048582,69206016.0,12.018967167008668,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708200015758
combined__service_termination__16,combined,service_termination,16,2026-07-08T20:06:16.467944+00:00,2026-07-08T20:12:15.695942+00:00,ok,,1990.0,0.0,1990.0,1.0,7679.0,9507.0,12599.0,8019.0,5.89,,0.0343260979303382,84934656.0,16.046614624996437,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708200620477
combined__service_termination__17,combined,service_termination,17,2026-07-08T20:12:25.705228+00:00,2026-07-08T20:18:40.120825+00:00,ok,,1982.0,0.0,1982.0,1.0,7749.0,9645.0,12625.0,8045.0,5.85,,0.0732522071104748,88080384.0,17.89693029198679,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708201240403
